"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"varun chakaravarthy","20K+","November 2, 2025 at 2:00:00 PM UTC+5:30","November 2, 2025 at 6:30:00 PM UTC+5:30","varun chakaravarthy,varun chakravarthy","https://trends.google.com/trends/explore?q=varun%20chakaravarthy&geo=IN&hl=en-US"
"nashville vs inter miami","50K+","November 2, 2025 at 5:30:00 AM UTC+5:30","November 2, 2025 at 11:30:00 AM UTC+5:30","nashville vs inter miami,where to watch nashville sc vs inter miami,nashville sc vs inter miami","https://trends.google.com/trends/explore?q=nashville%20vs%20inter%20miami&geo=IN&hl=en-US"
"brest vs lyon","200+","November 3, 2025 at 1:10:00 AM UTC+5:30",,"brest vs lyon","https://trends.google.com/trends/explore?q=brest%20vs%20lyon&geo=IN&hl=en-US"
"jasprit bumrah","20K+","November 2, 2025 at 1:50:00 PM UTC+5:30","November 2, 2025 at 6:10:00 PM UTC+5:30","jasprit bumrah","https://trends.google.com/trends/explore?q=jasprit%20bumrah&geo=IN&hl=en-US"
"t20 world cup 2025","1K+","November 2, 2025 at 4:10:00 PM UTC+5:30",,"t20 world cup 2025","https://trends.google.com/trends/explore?q=t20%20world%20cup%202025&geo=IN&hl=en-US"
"women world cup 2017","200+","November 3, 2025 at 1:00:00 AM UTC+5:30",,"women world cup 2017","https://trends.google.com/trends/explore?q=women%20world%20cup%202017&geo=IN&hl=en-US"
"asia cup","200+","November 3, 2025 at 12:50:00 AM UTC+5:30",,"asia cup","https://trends.google.com/trends/explore?q=asia%20cup&geo=IN&hl=en-US"
"men's world cup","200+","November 3, 2025 at 12:20:00 AM UTC+5:30",,"men's world cup","https://trends.google.com/trends/explore?q=men%27s%20world%20cup&geo=IN&hl=en-US"
"shubman gill","20K+","November 2, 2025 at 4:10:00 PM UTC+5:30","November 2, 2025 at 5:40:00 PM UTC+5:30","shubman gill,sara tendulkar","https://trends.google.com/trends/explore?q=shubman%20gill&geo=IN&hl=en-US"
"alavés vs espanyol","2K+","November 2, 2025 at 8:00:00 PM UTC+5:30","November 3, 2025 at 12:40:00 AM UTC+5:30","alavés vs espanyol","https://trends.google.com/trends/explore?q=alav%C3%A9s%20vs%20espanyol&geo=IN&hl=en-US"
"divya deshmukh chess world cup","10K+","November 2, 2025 at 6:00:00 AM UTC+5:30","November 2, 2025 at 10:40:00 PM UTC+5:30","divya deshmukh chess world cup","https://trends.google.com/trends/explore?q=divya%20deshmukh%20chess%20world%20cup&geo=IN&hl=en-US"
"champion india","1K+","November 3, 2025 at 12:20:00 AM UTC+5:30",,"champion india,ভারত মহিলা বনাম দক্ষিণ আফ্রিকা মহিলা,ভারত মহিলা বনাম দক্ষিণ আফ্রিকা মহিলা ম্যাচের স্কোরকার্ড","https://trends.google.com/trends/explore?q=champion%20india&geo=IN&hl=en-US"
"josh inglis","20K+","November 2, 2025 at 1:40:00 PM UTC+5:30","November 2, 2025 at 4:40:00 PM UTC+5:30","josh inglis","https://trends.google.com/trends/explore?q=josh%20inglis&geo=IN&hl=en-US"
"asia cup 2025","500+","November 2, 2025 at 4:10:00 PM UTC+5:30",,"asia cup 2025","https://trends.google.com/trends/explore?q=asia%20cup%202025&geo=IN&hl=en-US"
"australia vs england ashes series","2K+","November 2, 2025 at 2:50:00 PM UTC+5:30","November 3, 2025 at 12:40:00 AM UTC+5:30","australia vs england ashes series","https://trends.google.com/trends/explore?q=australia%20vs%20england%20ashes%20series&geo=IN&hl=en-US"
"ऑस्ट्रेलिया वि भारत","10K+","November 2, 2025 at 2:00:00 PM UTC+5:30","November 2, 2025 at 6:30:00 PM UTC+5:30","ऑस्ट्रेलिया वि भारत","https://trends.google.com/trends/explore?q=%E0%A4%91%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE%20%E0%A4%B5%E0%A4%BF%20%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4&geo=IN&hl=en-US"
"smriti mandhana net worth","500+","November 2, 2025 at 6:00:00 PM UTC+5:30",,"smriti mandhana net worth","https://trends.google.com/trends/explore?q=smriti%20mandhana%20net%20worth&geo=IN&hl=en-US"
"mohammedan sc vs punjab fc","5K+","November 2, 2025 at 4:30:00 PM UTC+5:30","November 2, 2025 at 8:20:00 PM UTC+5:30","mohammedan sc vs punjab fc","https://trends.google.com/trends/explore?q=mohammedan%20sc%20vs%20punjab%20fc&geo=IN&hl=en-US"
"ind vs sa test","2K+","November 2, 2025 at 5:30:00 PM UTC+5:30","November 3, 2025 at 1:10:00 AM UTC+5:30","ind vs sa test,india vs sa a unofficial test","https://trends.google.com/trends/explore?q=ind%20vs%20sa%20test&geo=IN&hl=en-US"
"mohammad nabi","5K+","November 2, 2025 at 6:20:00 PM UTC+5:30","November 2, 2025 at 9:30:00 PM UTC+5:30","mohammad nabi,अफ़ग़ानिस्तान बनाम ज़िम्बाब्वे,अफगाणिस्तान वि झिम्बाब्वे","https://trends.google.com/trends/explore?q=mohammad%20nabi&geo=IN&hl=en-US"
"parma vs bologna","500+","November 2, 2025 at 10:30:00 PM UTC+5:30","November 3, 2025 at 1:20:00 AM UTC+5:30","parma vs bologna","https://trends.google.com/trends/explore?q=parma%20vs%20bologna&geo=IN&hl=en-US"
"matt short","20K+","November 2, 2025 at 3:00:00 PM UTC+5:30","November 2, 2025 at 3:50:00 PM UTC+5:30","matt short","https://trends.google.com/trends/explore?q=matt%20short&geo=IN&hl=en-US"
"icc champions trophy","500+","November 2, 2025 at 5:50:00 PM UTC+5:30",,"icc champions trophy,men's cricket","https://trends.google.com/trends/explore?q=icc%20champions%20trophy&geo=IN&hl=en-US"
"cyprus vs bulgaria","5K+","November 2, 2025 at 4:30:00 PM UTC+5:30","November 2, 2025 at 8:50:00 PM UTC+5:30","cyprus vs bulgaria,bulgaria vs cyprus","https://trends.google.com/trends/explore?q=cyprus%20vs%20bulgaria&geo=IN&hl=en-US"
"fiorentina vs lecce","1K+","November 2, 2025 at 6:50:00 PM UTC+5:30","November 2, 2025 at 11:50:00 PM UTC+5:30","fiorentina vs lecce","https://trends.google.com/trends/explore?q=fiorentina%20vs%20lecce&geo=IN&hl=en-US"
"tyler adams","500+","November 2, 2025 at 10:30:00 PM UTC+5:30","November 3, 2025 at 12:20:00 AM UTC+5:30","tyler adams","https://trends.google.com/trends/explore?q=tyler%20adams&geo=IN&hl=en-US"
"coco gauff","1K+","November 2, 2025 at 9:40:00 PM UTC+5:30","November 3, 2025 at 12:20:00 AM UTC+5:30","coco gauff,jessica pegula","https://trends.google.com/trends/explore?q=coco%20gauff&geo=IN&hl=en-US"
"neymar","200+","November 3, 2025 at 12:10:00 AM UTC+5:30","November 3, 2025 at 1:20:00 AM UTC+5:30","neymar","https://trends.google.com/trends/explore?q=neymar&geo=IN&hl=en-US"
"real madrid","10K+","November 2, 2025 at 1:50:00 AM UTC+5:30","November 2, 2025 at 4:30:00 AM UTC+5:30","real madrid,real madrid vs valencia cf,real madrid vs,rma vs valencia","https://trends.google.com/trends/explore?q=real%20madrid&geo=IN&hl=en-US"
"ऋचा घोष","2K+","November 2, 2025 at 7:30:00 PM UTC+5:30","November 2, 2025 at 9:30:00 PM UTC+5:30","ऋचा घोष","https://trends.google.com/trends/explore?q=%E0%A4%8B%E0%A4%9A%E0%A4%BE%20%E0%A4%98%E0%A5%8B%E0%A4%B7&geo=IN&hl=en-US"
"rennes vs strasbourg","1K+","November 2, 2025 at 7:00:00 PM UTC+5:30","November 2, 2025 at 10:00:00 PM UTC+5:30","rennes vs strasbourg","https://trends.google.com/trends/explore?q=rennes%20vs%20strasbourg&geo=IN&hl=en-US"
"aryna sabalenka","1K+","November 2, 2025 at 7:50:00 PM UTC+5:30","November 2, 2025 at 10:00:00 PM UTC+5:30","aryna sabalenka,wta finals","https://trends.google.com/trends/explore?q=aryna%20sabalenka&geo=IN&hl=en-US"
"felix auger aliassime","1K+","November 2, 2025 at 8:00:00 PM UTC+5:30","November 2, 2025 at 10:20:00 PM UTC+5:30","felix auger aliassime,sinner","https://trends.google.com/trends/explore?q=felix%20auger%20aliassime&geo=IN&hl=en-US"
"la liga","10K+","November 2, 2025 at 2:20:00 AM UTC+5:30","November 2, 2025 at 5:00:00 AM UTC+5:30","la liga,real madrid cf,kylian mbappé,where to watch real madrid vs valencia cf,real madrid games,madrid match,real madrid vs valencia cf lineups,real madrid vs valencia cf standings,madrid vs valencia,julen agirrezabala,jude bellingham","https://trends.google.com/trends/explore?q=la%20liga&geo=IN&hl=en-US"
"pacers vs warriors","2K+","November 2, 2025 at 4:40:00 AM UTC+5:30","November 2, 2025 at 12:10:00 PM UTC+5:30","pacers vs warriors","https://trends.google.com/trends/explore?q=pacers%20vs%20warriors&geo=IN&hl=en-US"
"टिम डेविड","2K+","November 2, 2025 at 2:00:00 PM UTC+5:30","November 2, 2025 at 4:40:00 PM UTC+5:30","टिम डेविड,अक्षर पटेल","https://trends.google.com/trends/explore?q=%E0%A4%9F%E0%A4%BF%E0%A4%AE%20%E0%A4%A1%E0%A5%87%E0%A4%B5%E0%A4%BF%E0%A4%A1&geo=IN&hl=en-US"
"cric","1K+","November 2, 2025 at 3:50:00 PM UTC+5:30","November 3, 2025 at 12:30:00 AM UTC+5:30","cric","https://trends.google.com/trends/explore?q=cric&geo=IN&hl=en-US"
"marc casadó","200+","November 2, 2025 at 11:00:00 PM UTC+5:30","November 3, 2025 at 12:10:00 AM UTC+5:30","marc casadó","https://trends.google.com/trends/explore?q=marc%20casad%C3%B3&geo=IN&hl=en-US"
"অস্ট্রেলিয়া বনাম ভারত","1K+","November 2, 2025 at 2:00:00 PM UTC+5:30","November 2, 2025 at 6:40:00 PM UTC+5:30","অস্ট্রেলিয়া বনাম ভারত","https://trends.google.com/trends/explore?q=%E0%A6%85%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B2%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%20%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%AE%20%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4&geo=IN&hl=en-US"
"lens vs lorient","500+","November 2, 2025 at 9:20:00 PM UTC+5:30","November 2, 2025 at 11:00:00 PM UTC+5:30","lens vs lorient","https://trends.google.com/trends/explore?q=lens%20vs%20lorient&geo=IN&hl=en-US"
"tamil nadu vs vidarbha","1K+","November 2, 2025 at 7:10:00 PM UTC+5:30","November 2, 2025 at 8:20:00 PM UTC+5:30","tamil nadu vs vidarbha","https://trends.google.com/trends/explore?q=tamil%20nadu%20vs%20vidarbha&geo=IN&hl=en-US"
"bet365","2K+","November 2, 2025 at 2:10:00 PM UTC+5:30","November 2, 2025 at 5:50:00 PM UTC+5:30","bet365,bet 365","https://trends.google.com/trends/explore?q=bet365&geo=IN&hl=en-US"
"vvs laxman","200+","November 2, 2025 at 10:30:00 PM UTC+5:30","November 2, 2025 at 11:40:00 PM UTC+5:30","vvs laxman","https://trends.google.com/trends/explore?q=vvs%20laxman&geo=IN&hl=en-US"
"ஆஸ்திரேலியா - இந்தியா","1K+","November 2, 2025 at 2:00:00 PM UTC+5:30","November 2, 2025 at 6:30:00 PM UTC+5:30","ஆஸ்திரேலியா - இந்தியா","https://trends.google.com/trends/explore?q=%E0%AE%86%E0%AE%B8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%87%E0%AE%B2%E0%AE%BF%E0%AE%AF%E0%AE%BE%20-%20%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%BE&geo=IN&hl=en-US"
"sportskeeda","1K+","November 2, 2025 at 2:30:00 PM UTC+5:30","November 3, 2025 at 12:30:00 AM UTC+5:30","sportskeeda","https://trends.google.com/trends/explore?q=sportskeeda&geo=IN&hl=en-US"
"cb","2K+","November 2, 2025 at 5:10:00 PM UTC+5:30","November 2, 2025 at 6:30:00 PM UTC+5:30","cb","https://trends.google.com/trends/explore?q=cb&geo=IN&hl=en-US"
"losc vs angers","500+","November 2, 2025 at 9:20:00 PM UTC+5:30","November 2, 2025 at 11:00:00 PM UTC+5:30","losc vs angers","https://trends.google.com/trends/explore?q=losc%20vs%20angers&geo=IN&hl=en-US"
"cricbuzz.com","1K+","November 2, 2025 at 2:00:00 PM UTC+5:30","November 2, 2025 at 6:10:00 PM UTC+5:30","cricbuzz.com","https://trends.google.com/trends/explore?q=cricbuzz.com&geo=IN&hl=en-US"
"liverpool","5K+","November 2, 2025 at 2:20:00 AM UTC+5:30","November 2, 2025 at 4:30:00 AM UTC+5:30","liverpool,aston villa,liverpool f.c,lfc,fotmob","https://trends.google.com/trends/explore?q=liverpool&geo=IN&hl=en-US"
"t20 world cup 2026 schedule","200+","November 2, 2025 at 4:50:00 PM UTC+5:30","November 3, 2025 at 1:20:00 AM UTC+5:30","t20 world cup 2026 schedule","https://trends.google.com/trends/explore?q=t20%20world%20cup%202026%20schedule&geo=IN&hl=en-US"
"auxerre vs marseille","1K+","November 2, 2025 at 2:10:00 AM UTC+5:30","November 2, 2025 at 9:30:00 AM UTC+5:30","auxerre vs marseille","https://trends.google.com/trends/explore?q=auxerre%20vs%20marseille&geo=IN&hl=en-US"
"नेथन एलिस","500+","November 2, 2025 at 4:00:00 PM UTC+5:30","November 2, 2025 at 6:10:00 PM UTC+5:30","नेथन एलिस","https://trends.google.com/trends/explore?q=%E0%A4%A8%E0%A5%87%E0%A4%A5%E0%A4%A8%20%E0%A4%8F%E0%A4%B2%E0%A4%BF%E0%A4%B8&geo=IN&hl=en-US"
"antoine semenyo","200+","November 2, 2025 at 10:50:00 PM UTC+5:30","November 2, 2025 at 11:50:00 PM UTC+5:30","antoine semenyo","https://trends.google.com/trends/explore?q=antoine%20semenyo&geo=IN&hl=en-US"
"pistons vs mavericks","1K+","November 2, 2025 at 8:10:00 AM UTC+5:30","November 2, 2025 at 12:20:00 PM UTC+5:30","pistons vs mavericks","https://trends.google.com/trends/explore?q=pistons%20vs%20mavericks&geo=IN&hl=en-US"
"fpl","200+","November 2, 2025 at 10:50:00 PM UTC+5:30","November 2, 2025 at 11:40:00 PM UTC+5:30","fpl","https://trends.google.com/trends/explore?q=fpl&geo=IN&hl=en-US"
"ఆస్ట్రేలియా వర్సెస్ భారత్","500+","November 2, 2025 at 2:20:00 PM UTC+5:30","November 2, 2025 at 6:10:00 PM UTC+5:30","ఆస్ట్రేలియా వర్సెస్ భారత్","https://trends.google.com/trends/explore?q=%E0%B0%86%E0%B0%B8%E0%B1%8D%E0%B0%9F%E0%B1%8D%E0%B0%B0%E0%B1%87%E0%B0%B2%E0%B0%BF%E0%B0%AF%E0%B0%BE%20%E0%B0%B5%E0%B0%B0%E0%B1%8D%E0%B0%B8%E0%B1%86%E0%B0%B8%E0%B1%8D%20%E0%B0%AD%E0%B0%BE%E0%B0%B0%E0%B0%A4%E0%B1%8D&geo=IN&hl=en-US"
"ajit agarkar","500+","November 2, 2025 at 4:50:00 PM UTC+5:30","November 2, 2025 at 6:00:00 PM UTC+5:30","ajit agarkar","https://trends.google.com/trends/explore?q=ajit%20agarkar&geo=IN&hl=en-US"
"जसप्रीत बुमराह","500+","November 2, 2025 at 2:00:00 PM UTC+5:30","November 2, 2025 at 4:20:00 PM UTC+5:30","जसप्रीत बुमराह","https://trends.google.com/trends/explore?q=%E0%A4%9C%E0%A4%B8%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%A4%20%E0%A4%AC%E0%A5%81%E0%A4%AE%E0%A4%B0%E0%A4%BE%E0%A4%B9&geo=IN&hl=en-US"
"torino vs pisa","500+","November 2, 2025 at 7:40:00 PM UTC+5:30","November 2, 2025 at 9:20:00 PM UTC+5:30","torino vs pisa","https://trends.google.com/trends/explore?q=torino%20vs%20pisa&geo=IN&hl=en-US"
"bucks vs kings","500+","November 2, 2025 at 2:50:00 AM UTC+5:30","November 2, 2025 at 8:00:00 AM UTC+5:30","bucks vs kings","https://trends.google.com/trends/explore?q=bucks%20vs%20kings&geo=IN&hl=en-US"
"nico gonzález","200+","November 2, 2025 at 10:00:00 PM UTC+5:30","November 2, 2025 at 10:50:00 PM UTC+5:30","nico gonzález","https://trends.google.com/trends/explore?q=nico%20gonz%C3%A1lez&geo=IN&hl=en-US"
"fc dallas vs vancouver","500+","November 2, 2025 at 7:40:00 AM UTC+5:30","November 2, 2025 at 12:00:00 PM UTC+5:30","fc dallas vs vancouver","https://trends.google.com/trends/explore?q=fc%20dallas%20vs%20vancouver&geo=IN&hl=en-US"
"wwe","500+","November 2, 2025 at 4:00:00 AM UTC+5:30","November 2, 2025 at 9:00:00 AM UTC+5:30","wwe","https://trends.google.com/trends/explore?q=wwe&geo=IN&hl=en-US"
"tv9 kannada","200+","November 2, 2025 at 8:30:00 PM UTC+5:30","November 2, 2025 at 9:20:00 PM UTC+5:30","tv9 kannada","https://trends.google.com/trends/explore?q=tv9%20kannada&geo=IN&hl=en-US"
"gill","500+","November 2, 2025 at 4:00:00 PM UTC+5:30","November 2, 2025 at 5:20:00 PM UTC+5:30","gill","https://trends.google.com/trends/explore?q=gill&geo=IN&hl=en-US"
"celtics vs rockets","500+","November 2, 2025 at 7:10:00 AM UTC+5:30","November 2, 2025 at 10:00:00 AM UTC+5:30","celtics vs rockets","https://trends.google.com/trends/explore?q=celtics%20vs%20rockets&geo=IN&hl=en-US"
"álvaro carreras","500+","November 2, 2025 at 3:20:00 AM UTC+5:30","November 2, 2025 at 7:00:00 AM UTC+5:30","álvaro carreras","https://trends.google.com/trends/explore?q=%C3%A1lvaro%20carreras&geo=IN&hl=en-US"
"real madrid match","500+","November 2, 2025 at 1:40:00 AM UTC+5:30","November 2, 2025 at 4:10:00 AM UTC+5:30","real madrid match","https://trends.google.com/trends/explore?q=real%20madrid%20match&geo=IN&hl=en-US"
"real madrid fc","500+","November 2, 2025 at 1:50:00 AM UTC+5:30","November 2, 2025 at 6:20:00 AM UTC+5:30","real madrid fc","https://trends.google.com/trends/explore?q=real%20madrid%20fc&geo=IN&hl=en-US"
"rinku singh","1K+","November 2, 2025 at 1:10:00 PM UTC+5:30","November 2, 2025 at 1:40:00 PM UTC+5:30","rinku singh","https://trends.google.com/trends/explore?q=rinku%20singh&geo=IN&hl=en-US"
"monterrey vs tigres uanl","200+","November 2, 2025 at 7:30:00 AM UTC+5:30","November 2, 2025 at 9:30:00 AM UTC+5:30","monterrey vs tigres uanl","https://trends.google.com/trends/explore?q=monterrey%20vs%20tigres%20uanl&geo=IN&hl=en-US"
"abhishek sharma parents","200+","November 2, 2025 at 3:40:00 PM UTC+5:30","November 2, 2025 at 4:50:00 PM UTC+5:30","abhishek sharma parents","https://trends.google.com/trends/explore?q=abhishek%20sharma%20parents&geo=IN&hl=en-US"
"viktor gyökeres arsenal","500+","November 2, 2025 at 6:20:00 PM UTC+5:30","November 2, 2025 at 7:00:00 PM UTC+5:30","viktor gyökeres arsenal,epl table","https://trends.google.com/trends/explore?q=viktor%20gy%C3%B6keres%20arsenal&geo=IN&hl=en-US"
"arda güler","200+","November 2, 2025 at 2:30:00 AM UTC+5:30","November 2, 2025 at 5:00:00 AM UTC+5:30","arda güler","https://trends.google.com/trends/explore?q=arda%20g%C3%BCler&geo=IN&hl=en-US"
"phillip hughes","200+","November 2, 2025 at 4:00:00 PM UTC+5:30","November 2, 2025 at 5:00:00 PM UTC+5:30","phillip hughes","https://trends.google.com/trends/explore?q=phillip%20hughes&geo=IN&hl=en-US"
"liverpool fc","500+","November 2, 2025 at 2:50:00 AM UTC+5:30","November 2, 2025 at 4:10:00 AM UTC+5:30","liverpool fc,liverpool f.c.","https://trends.google.com/trends/explore?q=liverpool%20fc&geo=IN&hl=en-US"
"laliga standings","200+","November 2, 2025 at 2:40:00 AM UTC+5:30","November 2, 2025 at 4:40:00 AM UTC+5:30","laliga standings","https://trends.google.com/trends/explore?q=laliga%20standings&geo=IN&hl=en-US"
"madrid","200+","November 2, 2025 at 2:00:00 AM UTC+5:30","November 2, 2025 at 3:50:00 AM UTC+5:30","madrid","https://trends.google.com/trends/explore?q=madrid&geo=IN&hl=en-US"
"chicago vs philadelphia","200+","November 2, 2025 at 5:20:00 AM UTC+5:30","November 2, 2025 at 7:10:00 AM UTC+5:30","chicago vs philadelphia","https://trends.google.com/trends/explore?q=chicago%20vs%20philadelphia&geo=IN&hl=en-US"
"aus વિ. ind","200+","November 2, 2025 at 1:50:00 PM UTC+5:30","November 2, 2025 at 2:30:00 PM UTC+5:30","aus વિ. ind","https://trends.google.com/trends/explore?q=aus%20%E0%AA%B5%E0%AA%BF.%20ind&geo=IN&hl=en-US"
"santos","200+","November 2, 2025 at 1:50:00 AM UTC+5:30","November 2, 2025 at 3:30:00 AM UTC+5:30","santos","https://trends.google.com/trends/explore?q=santos&geo=IN&hl=en-US"
"al nassr match","200+","November 2, 2025 at 2:30:00 AM UTC+5:30","November 2, 2025 at 4:40:00 AM UTC+5:30","al nassr match","https://trends.google.com/trends/explore?q=al%20nassr%20match&geo=IN&hl=en-US"
"flamengo vs sport","100+","November 2, 2025 at 7:30:00 AM UTC+5:30","November 2, 2025 at 8:20:00 AM UTC+5:30","flamengo vs sport","https://trends.google.com/trends/explore?q=flamengo%20vs%20sport&geo=IN&hl=en-US"
"juventus fc","200+","November 2, 2025 at 2:00:00 AM UTC+5:30","November 2, 2025 at 3:20:00 AM UTC+5:30","juventus fc","https://trends.google.com/trends/explore?q=juventus%20fc&geo=IN&hl=en-US"
